"sel","title","artist","top genre","year","bpm","dur","pop"
"1","Blinding Lights","The Weeknd","canadian contemporary r&b","2020","171","200","93"
"2","Watermelon Sugar","Harry Styles","pop","2019","95","174","90"
"3","Someone You Loved","Lewis Capaldi","pop","2019","110","182","89"
"4","lovely (with Khalid)","Billie Eilish","art pop","2018","115","200","89"
"5","Mood (feat. iann dior)","24kGoldn","cali rap","2021","91","141","89"
"6","Circles","Post Malone","dfw rap","2019","120","215","88"
"7","goosebumps","Travis Scott","rap","2016","130","244","87"
"8","Lucid Dreams","Juice WRLD","chicago rap","2018","84","240","87"
"9","Memories","Maroon 5","pop","2021","91","189","87"
"10","bad guy","Billie Eilish","art pop","2019","135","194","87"
"11","ROCKSTAR (feat. Roddy Ricch)","DaBaby","north carolina hip hop","2020","90","182","86"
"12","death bed (coffee for your head)","Powfu","sad rap","2020","144","173","86"
"13","Before You Go","Lewis Capaldi","pop","2019","112","215","86"
"14","Adore You","Harry Styles","pop","2019","99","207","86"
"15","HIGHEST IN THE ROOM","Travis Scott","rap","2019","76","176","86"
"16","Godzilla (feat. Juice WRLD)","Eminem","detroit hip hop","2020","166","211","86"
"17","Stuck with U (with Justin Bieber)","Ariana Grande","dance pop","2020","179","228","86"
"18","SICKO MODE","Travis Scott","rap","2018","155","313","85"
"19","The Box","Roddy Ricch","melodic rap","2019","117","197","85"
"20","Ride It","Regard","dance pop","2019","118","158","85"
"21","WAP (feat. Megan Thee Stallion)","Cardi B","dance pop","2020","133","188","85"
"22","Breaking Me","Topic","dance pop","2019","122","167","84"
"23","everything i wanted","Billie Eilish","art pop","2019","120","245","84"
"24","Don't Start Now","Dua Lipa","dance pop","2020","124","183","84"
"25","Say So","Doja Cat","dance pop","2019","111","238","84"
"26","Falling","Trevor Daniel","alternative r&b","2020","127","159","84"
"27","If the World Was Ending (feat. Julia Michaels)","JP Saxe","alt z","2019","76","209","83"
"28","ROXANNE","Arizona Zervas","pop rap","2019","117","164","83"
"29","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","dfw rap","2019","90","158","82"
"30","ily (i love you baby) (feat. Emilee)","Surf Mesa","tropical house","2019","112","177","82"
"31","Savage Love (Laxed - Siren Beat)","Jawsh 685","nz pop","2020","150","171","82"
"32","Tusa","KAROL G","latin","2019","101","201","82"
"33","Break My Heart","Dua Lipa","dance pop","2020","113","222","81"
"34","Hawái","Maluma","latin","2020","180","199","81"
"35","Señorita","Shawn Mendes","canadian pop","2019","117","191","81"
"36","Sunday Best","Surfaces","bedroom soul","2019","112","159","81"
"37","Safaera","Bad Bunny","latin","2020","96","295","81"
"38","Blueberry Faygo","Lil Mosey","melodic rap","2020","99","163","80"
"39","THE SCOTTS","THE SCOTTS","rap","2020","130","166","80"
"40","Intentions (feat. Quavo)","Justin Bieber","canadian pop","2020","148","213","79"
"41","Rain On Me (with Ariana Grande)","Lady Gaga","art pop","2020","123","182","79"
"42","Dance Monkey","Tones And I","australian pop","2021","98","209","79"
"43","Physical","Dua Lipa","dance pop","2020","147","194","78"
"44","Dynamite","BTS","k-pop","2020","114","199","77"
"45","Life Is Good (feat. Drake)","Future","atl hip hop","2020","142","238","76"
"46","Yummy","Justin Bieber","canadian pop","2020","146","209","73"
"47","Toosie Slide","Drake","canadian hip hop","2020","82","247","73"
"48","RITMO (Bad Boys For Life)","Black Eyed Peas","dance pop","2020","105","215","68"
"49","Supalonely (feat. Gus Dapperton)","BENEE","alt z","2020","129","223","65"
"50","Roses - Imanbek Remix","SAINt JHN","melodic rap","2019","122","176","64"
